# HDIC Project
# Integrated Database of Hanzi Dictionaries in Early Japan
#
# SYP: Songben Yupian 宋本玉篇 database
#
# Version: 1.1.27
# Date: 20 October 2015
# Last update : 2 July 2026
#
# Copyright (c) 2014-2026 HDIC project, IKEDA Shoju (Chair, Professor Emeritus, Hokkaido University)
# LI Yuan (Person in charge of text data proofreading)
# LIU Guanwei (Person in charge of image database design and implementation)
# Research group of Linguistics, Hokkaido University Faculty of Humanities and Human Siences
# North 10, West 7, Kita-ku Sapporo, Hokkaido, 060-0810 Japan
# Contact: ikeda.shoju@gmail.com, liyuansapporo@yahoo.co.jp, toyjack@gmail.com
#
# Data License Information and Access Rights
# License: 
# Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0)
# Access Rights (Availability): 
# Open access
#
# TSV Format information:
#
# SYID              Book, leaf, recto-verso, line and number (Zecuntang edition)
# SY_vol_radical    Volume and radical number
# SY_radical        Radical of Chinese character
# Entry             Headword
# Entry_original    Original headword (option)
# SY_def            Definition of pronunciation, meaning and variant(s)
# Zang_page         Zhong gu Han zi liu bian
# KSY_diff          Differences of SYID with Kunaicho Shoryobu edition
# SY_remarks        Editor's notes
#
# References:
#
#  臧克和著, 中古漢字流變, 華東師範大學出版社, 2008. Zang Kehe, Zhong gu Han zi liu bian, Shanghai : Hua dong shi fan da xue chu ban she, 2008.
#
# Primary Sources:
#
#  宮内廳書陵部藏本(南宋版)：大廣益會玉篇 (box 515, no.106, photographic images).
#  澤存堂本：〔梁〕顧野王著, 大廣益會玉篇, 北京：中華書局, 1987.
#
# This work was supported by JSPS KAKENHI Grant Number 25370506, 16H03422, 19H00526, 23K17500, 25K00466 and 26K21717.
#
SYID	SY_vol_radical	SY_radical	Entry	Entry_original	SY_def	Zang_page	KSY_diff	SY_remarks
a005a101	v1#1	一	一		於逸切。《說文》曰：惟初太始、道立於一、造分天地、化成萬物。《道德經》云：昔之得一者、天得一以清、地得一以寧、神得一以靈、谷得一以盈、萬物得一以生、侯王得一以爲天下正。王弼曰：一者數之始也、物之極也。又同也、少也、初也。或作壹。	1		
a005b011	v1#1	一	弌		古文。	1		
a005b012	v1#1	一	天		他前切。《說文》曰：天顚也、至高無上、从一大。《爾雅》曰：春爲蒼天、夏爲昊天、秋爲旻天、冬爲上天。《詩傳》云：尊而君之則稱皇天、元氣廣大則稱昊天、仁覆閔下則稱旻天、自上降監則稱上天、據遠視之蒼蒼然則稱蒼天。《呂氏春秋》云：天有九野、東方蒼、東南方陽、南方炎、西南方朱、西方顥、西北方幽、北方玄、東北方變、中央鈞。《太玄經》曰：九天、一爲中、二爲羡、三爲從、四爲更、五爲睟、六爲廓、七爲減、八爲沈、九爲成。《釋名》曰：天豫司兖冀以舌腹言之。天顯也、在上高顯也。青徐以舌頭言之。天坦也、坦然高而遠也。	1		
a005b051	v1#1	一	𠀡		並古文。	1		
a005b052	v1#1	一	𠀘		並古文。	1		
a005b053	v1#1	一	元		五袁切。《說文》曰：元始也。《易》曰：元者善之長也。《春秋傳》曰：狄人歸其元元首也。《韓詩》曰：元長也。《公羊傳》曰：元年春者何君之始年也。何休云：變一言元元者氣也。《左氏傳注》曰：凡人君即位欲其體元以居正故不言一年一月也。《漢書》曰：勸元元。師古曰：元元善意。	1		
a005b071	v1#1	一	丕		普邳切。《虞書》曰：嘉乃丕績。孔安國曰：丕大也。或作㔻。	2		
a005b072	v1#1	一	吏		力致切。《說文》曰：治人者也。《夏書》曰：天吏逸德烈于猛火。《周禮》：八則、三曰廢置以馭其吏。《左氏傳》曰：王使委於三吏。杜預曰：三吏三公也。《禮記》曰：五官之長、曰伯。其擯於天子也、曰天子之吏。	2		
a005b091	v1#1	一	𠆣		竹瓦切。	2		
a005b101	v1#2	上	上		市讓切。《說文》云：高也。又居也。《易》曰：本乎天者親上。《虞書》曰：正月上日。孔安國曰：上日朔日也。《老子》曰：太上下知有之。王弼曰：太上大人也。《漢書》云：望於太上。如淳曰：太上猶天子也。又市掌切。登也、升也。	2		
a006a011	v1#2	上	丄		古文。	2		
a006a012	v1#2	上	帝		丁計切。《說文》云：諦也、王天下之號也。《爾雅》曰：君也。《白虎通》曰：德合天者稱帝。《商書》云：惟皇上帝。孔安國曰：上帝天帝也。《周禮》曰：兆五帝於四郊。鄭玄曰：五帝、蒼曰靈威仰、太昊食焉、赤曰赤熛怒、炎帝食焉、黃曰含樞紐、黃帝食焉、白曰白招拒少昊食焉、黑曰汁光紀、顓頊食焉。	2		
# eof
