小韻	字	聲母	韻母	聲調	楊耐思	寧繼福	薛鳳生(音位)	unt(音位)	unt	釋義	校註
東	東	端	東鍾合	陰	tuŋ	tuŋ	twoŋ	tuŋ	tuŋ		
東	冬	端	東鍾合	陰	tuŋ	tuŋ	twoŋ	tuŋ	tuŋ		
鍾	鍾	照	東鍾合	陰	tʃuŋ	tʂuŋ	crwoŋ	tʂuŋ	tʂuŋ		
鍾	鐘	照	東鍾合	陰	tʃuŋ	tʂuŋ	crwoŋ	tʂuŋ	tʂuŋ		
鍾	中	照	東鍾合	陰	tʃuŋ	tʂuŋ	crwoŋ	tʂuŋ	tʂuŋ		
鍾	忠	照	東鍾合	陰	tʃuŋ	tʂuŋ	crwoŋ	tʂuŋ	tʂuŋ		
鍾	衷	照	東鍾合	陰	tʃuŋ	tʂuŋ	crwoŋ	tʂuŋ	tʂuŋ		
鍾	終	照	東鍾合	陰	tʃuŋ	tʂuŋ	crwoŋ	tʂuŋ	tʂuŋ		
通	通	透	東鍾合	陰	tʻuŋ	tʻuŋ	thwoŋ	tʰuŋ	tʰuŋ		
通	蓪	透	東鍾合	陰	tʻuŋ	tʻuŋ	thwoŋ	tʰuŋ	tʰuŋ		
松	松	心	東鍾撮	陰	siuŋ	siuŋ	sywoŋ	sjuŋ	sjuŋ		
松	嵩	心	東鍾撮	陰	siuŋ	siuŋ	sywoŋ	sjuŋ	sjuŋ		
冲	冲	穿	東鍾合	陰	tʃʻuŋ	tʂʻuŋ	crhwoŋ	tʂʰuŋ	tʂʰuŋ		
冲	充	穿	東鍾合	陰	tʃʻuŋ	tʂʻuŋ	crhwoŋ	tʂʰuŋ	tʂʰuŋ		
冲	衝	穿	東鍾合	陰	tʃʻuŋ	tʂʻuŋ	crhwoŋ	tʂʰuŋ	tʂʰuŋ		
冲	舂	穿	東鍾合	陰	tʃʻuŋ	tʂʻuŋ	crhwoŋ	tʂʰuŋ	tʂʰuŋ		
冲	忡	穿	東鍾合	陰	tʃʻuŋ	tʂʻuŋ	crhwoŋ	tʂʰuŋ	tʂʰuŋ		
冲	摏	穿	東鍾合	陰	tʃʻuŋ	tʂʻuŋ	crhwoŋ	tʂʰuŋ	tʂʰuŋ		
冲	艟	穿	東鍾合	陰	tʃʻuŋ	tʂʻuŋ	crhwoŋ	tʂʰuŋ	tʂʰuŋ		
冲	䂌	穿	東鍾合	陰	tʃʻuŋ	tʂʻuŋ	crhwoŋ	tʂʰuŋ	tʂʰuŋ		
冲	翀	穿	東鍾合	陰	tʃʻuŋ	tʂʻuŋ	crhwoŋ	tʂʰuŋ	tʂʰuŋ		
冲	种	穿	東鍾合	陰	tʃʻuŋ	tʂʻuŋ	crhwoŋ	tʂʰuŋ	tʂʰuŋ		
邕	邕	影	東鍾撮	陰	iuŋ	iuŋ	ywoŋ	juŋ	juŋ		
邕	嗈	影	東鍾撮	陰	iuŋ	iuŋ	ywoŋ	juŋ	juŋ		
邕	雍	影	東鍾撮	陰	iuŋ	iuŋ	ywoŋ	juŋ	juŋ		
空	空	溪	東鍾合	陰	kʻuŋ	kʻuŋ	khwoŋ	kʰuŋ	kʰuŋ		
空	悾	溪	東鍾合	陰	kʻuŋ	kʻuŋ	khwoŋ	kʰuŋ	kʰuŋ		
宗	宗	精	東鍾合	陰	tsuŋ	tsuŋ	cwoŋ	tsuŋ	tsuŋ		
宗	椶	精	東鍾合	陰	tsuŋ	tsuŋ	cwoŋ	tsuŋ	tsuŋ		
宗	騣	精	東鍾合	陰	tsuŋ	tsuŋ	cwoŋ	tsuŋ	tsuŋ		
風	風	非	東鍾合	陰	fuŋ	fuŋ	fwoŋ	fuŋ	fuŋ		
風	楓	非	東鍾合	陰	fuŋ	fuŋ	fwoŋ	fuŋ	fuŋ		
風	豐	非	東鍾合	陰	fuŋ	fuŋ	fwoŋ	fuŋ	fuŋ		
風	封	非	東鍾合	陰	fuŋ	fuŋ	fwoŋ	fuŋ	fuŋ		
風	葑	非	東鍾合	陰	fuŋ	fuŋ	fwoŋ	fuŋ	fuŋ		
風	峯	非	東鍾合	陰	fuŋ	fuŋ	fwoŋ	fuŋ	fuŋ		
風	鋒	非	東鍾合	陰	fuŋ	fuŋ	fwoŋ	fuŋ	fuŋ		
風	烽	非	東鍾合	陰	fuŋ	fuŋ	fwoŋ	fuŋ	fuŋ		
風	丰	非	東鍾合	陰	fuŋ	fuŋ	fwoŋ	fuŋ	fuŋ		
風	蜂	非	東鍾合	陰	fuŋ	fuŋ	fwoŋ	fuŋ	fuŋ		
鬆	鬆	心	東鍾合	陰	suŋ	suŋ	swoŋ	suŋ	suŋ		
鬆	憽	心	東鍾合	陰	suŋ	suŋ	swoŋ	suŋ	suŋ		原作“愡”，誤
匆	匆	清	東鍾合	陰	tsʻuŋ	tsʻuŋ	chwoŋ	tsʰuŋ	tsʰuŋ		
匆	蔥葱	清	東鍾合	陰	tsʻuŋ	tsʻuŋ	chwoŋ	tsʰuŋ	tsʰuŋ		
匆	聰聦	清	東鍾合	陰	tsʻuŋ	tsʻuŋ	chwoŋ	tsʰuŋ	tsʰuŋ		
匆	驄	清	東鍾合	陰	tsʻuŋ	tsʻuŋ	chwoŋ	tsʰuŋ	tsʰuŋ		
匆	囱	清	東鍾合	陰	tsʻuŋ	tsʻuŋ	chwoŋ	tsʰuŋ	tsʰuŋ	煙突	
蹤	蹤	精	東鍾撮	陰	tsiuŋ	tsiuŋ	cywoŋ	tsjuŋ	tsjuŋ		
蹤	縱	精	東鍾撮	陰	tsiuŋ	tsiuŋ	cywoŋ	tsjuŋ	tsjuŋ		
蹤	樅	精	東鍾撮	陰	tsiuŋ	tsiuŋ	cywoŋ	tsjuŋ	tsjuŋ		
穹	穹	溪	東鍾撮	陰	kʻiuŋ	kʻiuŋ	khywoŋ	kʰjuŋ	kʰjuŋ		
